Path, URL, Size in bytes (optional but recommended), MD5 Hash (optional but recommended), Filter Terms (optional), Overwrite (optional), Comments (optional)
Scripts/tools/mbc, https://github.com/pocomane/MiSTer_Batch_Control/releases/download/release.3873450d413c30e6b0339e6b3dbf2373e0e5a74a/mbc, , , tool, overwrite:true,
Scripts/tools/gum, https://archive.org/download/davewongillies_mister_tools/gum_0.16.1_Linux_armv7.zip/gum_0.16.1_Linux_armv7%2Fgum, , , tool, overwrite:true,
